RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name,results
ci40330120,06-05-22 7:00,9735353,Koleje Mazowieckie,06-05-22,Warszawa Centralna - Modlin,7:3535:00 AM,0,Warszawa Wschodnia,0
ci40330112,06-05-22 7:00,995350/35  ,SKM Warszawa,06-05-22,Pruszków - Otwock,7:3523:00 AM,1,Warszawa Wschodnia,0
nc73770880,06-05-22 7:00,93958/9  ,Koleje Mazowieckie,06-05-22,Warszawa Rembertów - Skierniewice,7:353:00 AM,12,Warszawa Wschodnia,1
hv73118202,06-05-22 7:00,2335550/35  ,Koleje Mazowieckie,06-05-22,Radom Główny - Pilawa,7:356:00 AM,0,Warszawa Wschodnia,0
ci40330104,06-05-22 7:00,6353570/35  KARKONOSZE,PKP Intercity,06-05-22,Jelenia Góra - Warszawa Wschodnia,7:356:00 AM,23,Warszawa Wschodnia,1
ci40330096,06-05-22 7:00,232363523/3  ,Koleje Mazowieckie,06-05-22,Sobolew - Radom Główny,7:358:00 AM,0,Warszawa Wschodnia,0
hv73118182,06-05-22 7:00,350353523/3  ZAMENHOF,PKP Intercity,06-05-22,Białystok - Warszawa Zachodnia,7:230:00 AM,5,Warszawa Wschodnia,0
us6000icxg,06-05-22 7:00,935404/5  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:230:00 AM,16,Warszawa Wschodnia,1
us6000icxd,06-05-22 7:00,23353504/5  RADOMIAK,Koleje Mazowieckie,06-05-22,Skarżysko-Kamienna - Mińsk Mazowiecki,7:233:00 AM,0,Warszawa Wschodnia,0
nn00845643,06-05-22 7:00,999350/35  ,SKM Warszawa,06-05-22,Sulejówek Miłosna - Warszawa Lotnisko Chopina,7:234:00 AM,18,Warszawa Wschodnia,1
nc73770855,06-05-22 7:00,35500/35  ,PKP Intercity,06-05-22,Warszawa Centralna - Gdynia Główna,7:236:00 AM,0,Warszawa Wschodnia,0
hv73118102,06-05-22 7:00,935956/7  ,Koleje Mazowieckie,06-05-22,Skierniewice - Warszawa Rembertów,7:237:00 AM,20,Warszawa Wschodnia,1
pr71367508,06-05-22 7:00,9355323/3  ,Koleje Mazowieckie,06-05-22,Celestynów - Warszawa Zachodnia,7:238:00 AM,7,Warszawa Wschodnia,1
us6000icx6,06-05-22 7:00,935500/35  ,Koleje Mazowieckie,06-05-22,Otwock - Warszawa Zachodnia,6:58,4,Warszawa Ochota,0
av91667086,06-05-22 7:00,995350/35  ,SKM Warszawa,06-05-22,Pruszków - Otwock,7:00,21,Warszawa Ochota,1
pr2022234001,06-05-22 7:00,99908/9  ,SKM Warszawa,06-05-22,Sulejówek Miłosna - Warszawa Lotnisko Chopina,7:023:00 AM,0,Warszawa Ochota,0
nc73770830,06-05-22 7:00,2335550/35  ,Koleje Mazowieckie,06-05-22,Radom Główny - Pilawa,7:04,12,Warszawa Ochota,1
pr71367483,06-05-22 7:00,2335300/35  ,Koleje Mazowieckie,06-05-22,Dęblin - Grodzisk Mazowiecki,7:06,0,Warszawa Ochota,0
ci40330048,06-05-22 7:00,935404/5  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:08,35,Warszawa Ochota,1
hv73118047,06-05-22 7:00,93670/35  ,Koleje Mazowieckie,06-05-22,Siedlce - Piaseczno,7:09,0,Warszawa Ochota,0
ci40330032,06-05-22 7:00,23353504/5  RADOMIAK,Koleje Mazowieckie,06-05-22,Skarżysko-Kamienna - Mińsk Mazowiecki,7:3523:00 AM,11,Warszawa Ochota,1
ci40330024,06-05-22 7:00,93670/35  ,Koleje Mazowieckie,06-05-22,Siedlce - Piaseczno,7:03,8,Warszawa Powiśle,1
ci40330016,06-05-22 7:00,935954/5  ,Koleje Mazowieckie,06-05-22,Skierniewice - Woło Słoneczna,7:03,10,Warszawa Powiśle,1
ci40330008,06-05-22 7:00,995350/35  ,SKM Warszawa,06-05-22,Pruszków - Otwock,7:07,0,Warszawa Powiśle,0
pr71367473,06-05-22 7:00,935798/9  ,Koleje Mazowieckie,06-05-22,Ostrołęka - Warszawa Zachodnia,7:07,0,Warszawa Powiśle,0
ci40330000,06-05-22 7:00,2335550/35  ,Koleje Mazowieckie,06-05-22,Radom Główny - Pilawa,7:3535:00 AM,12,Warszawa Powiśle,1
ci40329992,06-05-22 7:00,935404/5  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:355:00 AM,0,Warszawa Powiśle,0
pr71367468,06-05-22 7:00,99308/9  ,SKM Warszawa,06-05-22,Otwock - Pruszków,7:355:00 AM,11,Warszawa Powiśle,1
ak022ard0ke4,06-05-22 7:00,93958/9  ,Koleje Mazowieckie,06-05-22,Warszawa Rembertów - Skierniewice,7:358:00 AM,0,Warszawa Powiśle,0
hv73118007,06-05-22 7:00,935798/9  ,Koleje Mazowieckie,06-05-22,Ostrołęka - Warszawa Zachodnia,7:353:00 AM,21,Warszawa Ochota,1
ak022arczij7,06-05-22 7:00,935956/7  ,Koleje Mazowieckie,06-05-22,Skierniewice - Warszawa Rembertów,7:356:00 AM,0,Warszawa Ochota,0
nc73770825,06-05-22 7:00,995353,SKM Warszawa,06-05-22,Warszawa Zachodnia - Otwock,7:359:00 AM,23,Warszawa Ochota,1
uu60510807,06-05-22 7:00,99308/9  ,SKM Warszawa,06-05-22,Otwock - Pruszków,7:2335:00 AM,9,Warszawa Ochota,1
pr2022234000,06-05-22 7:00,935670/35  ,Koleje Mazowieckie,06-05-22,Piaseczno - Warszawa Wschodnia,7:233:00 AM,21,Warszawa Ochota,1
ci40329976,06-05-22 7:00,93958/9  ,Koleje Mazowieckie,06-05-22,Warszawa Rembertów - Skierniewice,7:234:00 AM,0,Warszawa Ochota,0
ci40329968,06-05-22 7:00,9323823/3  ,Koleje Mazowieckie,06-05-22,Grodzisk Mazowiecki - Warszawa Wschodnia,7:236:00 AM,0,Warszawa Ochota,0
nc73770810,06-05-22 7:00,359404/5  ,Koleje Mazowieckie,06-05-22,Warszawa Wschodnia - Sochaczew,7:238:00 AM,10,Warszawa Ochota,1
ak022arcv9c8,06-05-22 7:00,935406/7  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:30,0,Warszawa Ochota,0
ak022arcuv1x,06-05-22 7:00,232363523/3  ,Koleje Mazowieckie,06-05-22,Sobolew - Radom Główny,7:323:00 AM,77,Warszawa Ochota,1
us6000icw1,06-05-22 7:00,9359023/3  ,Koleje Mazowieckie,06-05-22,Góra Kalwaria - Warszawa Wschodnia,7:35,8,Warszawa Ochota,1
hv73117987,06-05-22 7:00,999350/35  ,SKM Warszawa,06-05-22,Sulejówek Miłosna - Warszawa Lotnisko Chopina,7:36,0,Warszawa Ochota,0
uu60510797,06-05-22 7:00,99806/7  ,SKM Warszawa,06-05-22,Warszawa Lotnisko Chopina - Sulejówek Miłosna,7:39,24,Warszawa Ochota,1
nc73770800,06-05-22 7:00,23353504/5  RADOMIAK,Koleje Mazowieckie,06-05-22,Skarżysko-Kamienna - Mińsk Mazowiecki,7:358:00 AM,0,Warszawa Powiśle,0
uw61865292,06-05-22 7:00,359404/5  ,Koleje Mazowieckie,06-05-22,Warszawa Wschodnia - Sochaczew,7:2323:00 AM,21,Warszawa Powiśle,1
uu60510792,06-05-22 7:00,935956/7  ,Koleje Mazowieckie,06-05-22,Skierniewice - Warszawa Rembertów,7:2323:00 AM,10,Warszawa Powiśle,1
ak022arca7c1,06-05-22 7:00,995353,SKM Warszawa,06-05-22,Warszawa Zachodnia - Otwock,7:236:00 AM,12,Warszawa Powiśle,1
us6000icvq,06-05-22 7:00,232363523/3  ,Koleje Mazowieckie,06-05-22,Sobolew - Radom Główny,7:236:00 AM,0,Warszawa Powiśle,0
nc73770795,06-05-22 7:00,935670/35  ,Koleje Mazowieckie,06-05-22,Piaseczno - Warszawa Wschodnia,7:239:00 AM,11,Warszawa Powiśle,1
uu60510782,06-05-22 7:00,999350/35  ,SKM Warszawa,06-05-22,Sulejówek Miłosna - Warszawa Lotnisko Chopina,7:30,0,Warszawa Powiśle,0
tx2022qlhi,06-05-22 7:00,9323823/3  ,Koleje Mazowieckie,06-05-22,Grodzisk Mazowiecki - Warszawa Wschodnia,7:33,10,Warszawa Powiśle,1
nc73770790,06-05-22 7:00,9355323/3  ,Koleje Mazowieckie,06-05-22,Celestynów - Warszawa Zachodnia,7:33,10,Warszawa Powiśle,1
ok2022qlha,06-05-22 7:00,935406/7  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:36,0,Warszawa Powiśle,0
nc73770785,06-05-22 7:00,935840/35  ,Koleje Mazowieckie,06-05-22,Mrozy - Warszawa Zachodnia,7:37,0,Warszawa Powiśle,0
ak022arbv6gj,06-05-22 7:00,9359023/3  ,Koleje Mazowieckie,06-05-22,Góra Kalwaria - Warszawa Wschodnia,7:435:00 AM,21,Warszawa Powiśle,1
nc73770780,06-05-22 7:00,99806/7  ,SKM Warszawa,06-05-22,Warszawa Lotnisko Chopina - Sulejówek Miłosna,7:45,0,Warszawa Powiśle,0
ok2022qlgs,06-05-22 7:00,359856/7  ,Koleje Mazowieckie,06-05-22,Warszawa Zachodnia - Siedlce,6:58,23,Warszawa Stadion,1
nc73770770,06-05-22 7:00,93670/35  ,Koleje Mazowieckie,06-05-22,Siedlce - Piaseczno,7:035:00 AM,0,Warszawa Stadion,0
nc73770775,06-05-22 7:00,99804/5  ,SKM Warszawa,06-05-22,Warszawa Lotnisko Chopina - Sulejówek Miłosna,7:023:00 AM,11,Warszawa Stadion,1
nc73770765,06-05-22 7:00,935798/9  ,Koleje Mazowieckie,06-05-22,Ostrołęka - Warszawa Zachodnia,7:05,30,Warszawa Stadion,1
ak022arbpgrj,06-05-22 7:00,935954/5  ,Koleje Mazowieckie,06-05-22,Skierniewice - Woło Słoneczna,7:06,0,Warszawa Stadion,0
ci40329928,06-05-22 7:00,6353570/35  KARKONOSZE,PKP Intercity,06-05-22,Jelenia Góra - Warszawa Wschodnia,7:05,23,Warszawa Centralna,1
hv73117922,06-05-22 7:00,4350350/35 (406) CHOPIN,PKP Intercity,06-05-22,Bohu - Warszawa Wschodnia,5:46,99,Kraków Główny,1
ak022arb5zh9,06-05-22 7:00,43800/35 (406) KAROLINKA,POLREGIO Sp. z o.o.,06-05-22,Katowice - Rzeszów Główny,7:035:00 AM,0,Kraków Główny,0
nn00845632,06-05-22 7:00,423000/35 (33535) ROZTOCZE,PKP Intercity,06-05-22,Bohu - Lublin Główny,7:350:00 AM,0,Kraków Główny,0
uu60510747,06-05-22 7:00,36000/35 (33535) LWÓW EXPRESS,PKP Intercity,06-05-22,Przemyśl Główny - Wrocław Główny,7:3535:00 AM,31,Kraków Główny,1
ak022arb2qhm,06-05-22 7:00,333549 (33535) FRANCESCO NULLO,POLREGIO Sp. z o.o.,06-05-22,Olkusz - Kraków Główny,7:2323:00 AM,11,Kraków Główny,1
ci40329904,06-05-22 7:00,3508/9 (33535) ,PKP Intercity,06-05-22,Rzeszów Główny - Gdynia Główna,7:435:00 AM,0,Kraków Główny,0
nc73770745,06-05-22 7:00,433500/35 (33535) S3 GIBKI CUG,Koleje Śląskie,06-05-22,Katowice - Kraków Główny,7:43,21,Kraków Główny,1
nn00845605,06-05-22 7:00,333035 (33535) ,POLREGIO Sp. z o.o.,06-05-22,Olkusz - Kraków Główny,8:04,0,Kraków Główny,0
pr71367433,06-05-22 7:00,23333535 (33535) ,POLREGIO Sp. z o.o.,06-05-22,Kielce - Kraków Główny,8:3535:00 AM,17,Kraków Główny,1
uu60510737,06-05-22 7:00,995350/35  ,SKM Warszawa,06-05-22,Pruszków - Otwock,7:09,0,Warszawa Stadion,0
ak022araockh,06-05-22 7:00,99308/9  ,SKM Warszawa,06-05-22,Otwock - Pruszków,7:3523:00 AM,35,Warszawa Stadion,1
nc73770740,06-05-22 7:00,2335550/35  ,Koleje Mazowieckie,06-05-22,Radom Główny - Pilawa,7:353:00 AM,12,Warszawa Stadion,1
nc73770730,06-05-22 7:00,93958/9  ,Koleje Mazowieckie,06-05-22,Warszawa Rembertów - Skierniewice,7:356:00 AM,0,Warszawa Stadion,0
ak022araidc8,06-05-22 7:00,935404/5  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:357:00 AM,18,Warszawa Stadion,1
ci40329872,06-05-22 7:00,359404/5  ,Koleje Mazowieckie,06-05-22,Warszawa Wschodnia - Sochaczew,7:230:00 AM,16,Warszawa Stadion,1
nc73770720,06-05-22 7:00,23353504/5  RADOMIAK,Koleje Mazowieckie,06-05-22,Skarżysko-Kamienna - Mińsk Mazowiecki,7:2335:00 AM,0,Warszawa Stadion,0
ci40329864,06-05-22 7:00,232363523/3  ,Koleje Mazowieckie,06-05-22,Sobolew - Radom Główny,7:233:00 AM,11,Warszawa Stadion,1
uu60510727,06-05-22 7:00,935956/7  ,Koleje Mazowieckie,06-05-22,Skierniewice - Warszawa Rembertów,7:235:00 AM,12,Warszawa Stadion,1
pr71367428,06-05-22 7:00,999350/35  ,SKM Warszawa,06-05-22,Sulejówek Miłosna - Warszawa Lotnisko Chopina,7:237:00 AM,0,Warszawa Stadion,0
uu60510722,06-05-22 7:00,995353,SKM Warszawa,06-05-22,Warszawa Zachodnia - Otwock,7:238:00 AM,15,Warszawa Stadion,1
nn00845600,06-05-22 7:00,9355323/3  ,Koleje Mazowieckie,06-05-22,Celestynów - Warszawa Zachodnia,7:335:00 AM,11,Warszawa Stadion,1
ci40329840,06-05-22 7:00,935670/35  ,Koleje Mazowieckie,06-05-22,Piaseczno - Warszawa Wschodnia,7:323:00 AM,0,Warszawa Stadion,0
uu60510717,06-05-22 7:00,935840/35  ,Koleje Mazowieckie,06-05-22,Mrozy - Warszawa Zachodnia,7:35,18,Warszawa Stadion,1
ak022ar9ygxb,06-05-22 7:00,9323823/3  ,Koleje Mazowieckie,06-05-22,Grodzisk Mazowiecki - Warszawa Wschodnia,7:35,15,Warszawa Stadion,1
hv73117822,06-05-22 7:00,935406/7  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:39,0,Warszawa Stadion,0
pr71367413,06-05-22 7:00,7300/35  ŚLĄZAK,PKP Intercity,06-05-22,Poznań Główny - Przemyśl Główny,7:00,40,Wrocław Główny,1
uu60510712,06-05-22 7:00,2362323/3  BACZYŃSKI,PKP Intercity,06-05-22,Lublin Główny - Wrocław Główny,7:350:00 AM,23,Warszawa Centralna,1
hv73117802,06-05-22 7:00,3503554/5  ŁUKOWIANKA,Koleje Mazowieckie,06-05-22,Łuków - Warszawa Zachodnia,7:355:00 AM,35,Warszawa Centralna,1
uu60510707,06-05-22 7:00,353023/3  ,PKP Intercity,06-05-22,Warszawa Wschodnia - Kraków Główny,7:230:00 AM,0,Warszawa Centralna,0
uw61865227,06-05-22 7:00,3552323/3  MAZURY,PKP Intercity,06-05-22,Łódź Fabryczna - Olsztyn Główny,7:2323:00 AM,23,Warszawa Centralna,1
uw61865222,06-05-22 7:00,35400/35  ,PKP Intercity,06-05-22,Warszawa Wschodnia - Gliwice,7:235:00 AM,0,Warszawa Centralna,0
us6000ictn,06-05-22 7:00,350353523/3  ZAMENHOF,PKP Intercity,06-05-22,Białystok - Warszawa Zachodnia,7:30,0,Warszawa Centralna,0
ci40329824,06-05-22 7:00,33535023/3  HAŃCZA,PKP Intercity,06-05-22,Kraków Główny - Suwałki,7:335:00 AM,41,Warszawa Centralna,1
ci40329800,06-05-22 7:00,93535230/35  MAZOVIA,Koleje Mazowieckie,06-05-22,Płock - Warszawa Wschodnia,7:34,0,Warszawa Centralna,0
ci40329792,06-05-22 7:00,53323/3  KOCHANOWSKI,PKP Intercity,06-05-22,Bydgoszcz Główna - Rzeszów Główny,7:39,18,Warszawa Centralna,1
ci40329784,06-05-22 7:00,635238/9  OLEŃKA,PKP Intercity,06-05-22,Wrocław Główny - Bydgoszcz Główna,7:50,23,Warszawa Centralna,1
tx2022qkxa,06-05-22 7:00,9335356,Koleje Mazowieckie,06-05-22,Modlin - Warszawa Centralna,7:535:00 AM,0,Warszawa Centralna,0
nc73770705,06-05-22 7:00,435350/35  WYSOCKI,PKP Intercity,06-05-22,Katowice - Warszawa Wschodnia,8:355:00 AM,0,Warszawa Centralna,0
uw61865192,06-05-22 7:00,2383500/35  STASZIC,PKP Intercity,06-05-22,Lublin Główny - Szczecin Główny,8:358:00 AM,12,Warszawa Centralna,1
ak022ar8so46,06-05-22 7:00,35350/35  ,PKP Intercity,06-05-22,Kraków Główny - Gdynia Główna,8:235:00 AM,20,Warszawa Centralna,1
nc73770700,06-05-22 7:00,354004/5 (35335) BATHORY,PKP Intercity,06-05-22,Terespol - Bohu,8:235:00 AM,0,Warszawa Centralna,0
av91069028,06-05-22 7:00,5300/35 (35335) ,PKP Intercity,06-05-22,Gdynia Główna - Kraków Główny,8:35,11,Warszawa Centralna,1
ak022ar8p62l,06-05-22 7:00,635023/3 (35335) ,PKP Intercity,06-05-22,Wrocław Główny - Warszawa Wschodnia,8:58,0,Warszawa Centralna,0
us6000ics1,06-05-22 7:00,4506/7 (35335) ,PKP Intercity,06-05-22,Gliwice - Gdynia Główna,9:356:00 AM,0,Warszawa Centralna,0
uw61865167,06-05-22 7:00,383500/35 (35335) GÓRSKI,PKP Intercity,06-05-22,Rzeszów Główny - Szczecin Główny,9:359:00 AM,21,Warszawa Centralna,1
nc73770690,06-05-22 7:00,957355,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:035:00 AM,12,Rumia,1
us6000icrr,06-05-22 7:00,90404,POLREGIO Sp. z o.o.,06-05-22,Hel - Gdynia Główna,7:05,0,Rumia,0
us6000icrq,06-05-22 7:00,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:3535:00 AM,34,Rumia,1
ci40329768,06-05-22 7:00,90303,POLREGIO Sp. z o.o.,06-05-22,Gdynia Główna - Hel,7:353:00 AM,0,Rumia,0
ci40329760,06-05-22 7:00,8523023,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Bydgoszcz Główna,7:356:00 AM,20,Rumia,1
av91069018,06-05-22 7:00,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:2335:00 AM,12,Rumia,1
ci40329752,06-05-22 7:00,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:234:00 AM,0,Rumia,0
nc73770680,06-05-22 7:00,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:238:00 AM,12,Rumia,1
nc73770675,06-05-22 7:00,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:323:00 AM,21,Rumia,1
ak022ar7odz9,06-05-22 7:00,597723,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:00,0,Gdynia Chylonia,0
ci40329744,06-05-22 7:00,50673,POLREGIO Sp. z o.o.,06-05-22,Malbork - Gdynia Chylonia,7:03,10,Gdynia Chylonia,1
ak022ar7nokz,06-05-22 7:00,90303,POLREGIO Sp. z o.o.,06-05-22,Gdynia Główna - Hel,7:07,36,Gdynia Chylonia,1
ak022ar7mh0u,06-05-22 7:00,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:08,0,Gdynia Chylonia,0
ci40329736,06-05-22 7:00,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:3523:00 AM,11,Gdynia Chylonia,1
ci40329728,06-05-22 7:00,90404,POLREGIO Sp. z o.o.,06-05-22,Hel - Gdynia Główna,7:353:00 AM,38,Gdynia Chylonia,1
nn00845631,06-05-22 7:00,55863,POLREGIO Sp. z o.o.,06-05-22,Smętowo - Gdynia Chylonia,7:355:00 AM,0,Gdynia Chylonia,0
ak022ar7jguz,06-05-22 7:00,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:356:00 AM,16,Gdynia Chylonia,1
ci40329720,06-05-22 7:00,8523023,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Bydgoszcz Główna,7:2335:00 AM,38,Gdynia Chylonia,1
nc73770665,06-05-22 7:00,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:235:00 AM,0,Gdynia Chylonia,0
nc73770660,06-05-22 7:00,90406,POLREGIO Sp. z o.o.,06-05-22,Hel - Gdynia Główna,7:44,41,Rumia,1
se60405587,06-05-22 7:00,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:56,0,Rumia,0
nc73770655,06-05-22 7:00,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,7:57,45,Rumia,1
us6000icrb,06-05-22 7:00,852304,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Gdynia Główna,8:023:00 AM,12,Rumia,1
nn00845630,06-05-22 7:00,853509/8  STAŃCZYK,PKP Intercity,06-05-22,Szczecin Główny - Olsztyn Główny,9:03,0,Rumia,0
uw61865127,06-05-22 7:00,5835023/3  ŻUŁAWY,PKP Intercity,06-05-22,Olsztyn Główny - Szczecin Główny,9:06,32,Rumia,1
nn00845629,06-05-22 7:00,853507/6  GRYF,PKP Intercity,06-05-22,Szczecin Główny - Olsztyn Główny,350:56:00 AM,0,Rumia,0
ak022ar6wpg0,06-05-22 7:00,3583505/4  RYBAK,PKP Intercity,06-05-22,Białystok - Szczecin Główny,35:350:00 PM,11,Rumia,1
nn00845628,06-05-22 7:00,35835355/4  POBRZEŻE,PKP Intercity,06-05-22,Łódź Fabryczna - Kołobrzeg,23:54:00 PM,21,Rumia,1
ak022ar6kqmq,06-05-22 7:00,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:34,0,Gdynia Chylonia,0
ci40329688,06-05-22 7:00,55867,POLREGIO Sp. z o.o.,06-05-22,Pruszcz Gdański - Gdynia Chylonia,7:34,12,Gdynia Chylonia,1
hv73117607,06-05-22 7:00,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:435:00 AM,41,Gdynia Chylonia,1
nn00845588,06-05-22 7:00,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:46,0,Gdynia Chylonia,0
pr71367373,06-05-22 7:00,5572335,POLREGIO Sp. z o.o.,06-05-22,Laskowice Pomorskie - Gdynia Chylonia,7:48,21,Gdynia Chylonia,1
us6000icqz,06-05-22 7:00,90406,POLREGIO Sp. z o.o.,06-05-22,Hel - Gdynia Główna,7:50,0,Gdynia Chylonia,0
pr71367368,06-05-22 7:00,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,8:06,23,Gdynia Chylonia,1
ci40329672,06-05-22 7:00,506238/9  ,POLREGIO Sp. z o.o.,06-05-22,Elbląg - Gdynia Chylonia,8:06,0,Gdynia Chylonia,0
ci40329664,06-05-22 7:00,852304,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Gdynia Główna,8:3535:00 AM,21,Gdynia Chylonia,1
ak022ar6165v,06-05-22 7:00,55587,POLREGIO Sp. z o.o.,06-05-22,Smętowo - Gdynia Chylonia,8:34,0,Gdynia Chylonia,0
av91666566,06-05-22 7:00,434523  S7/S335,Koleje Śląskie,06-05-22,Racibórz - Nowy Bieruń,7:023:00 AM,0,Tychy,0
ci40329656,06-05-22 7:00,4035035  S435 SPRINTER,Koleje Śląskie,06-05-22,Częstochowa - Tychy Lodowisko,7:05,10,Tychy,1
av91069008,06-05-22 7:00,947523/3  S5,Koleje Śląskie,06-05-22,Zwardoń - Katowice,7:09,17,Tychy,1
ci40329648,06-05-22 7:00,94805/4  S5,Koleje Śląskie,06-05-22,Katowice - Żywiec,7:354:00 AM,0,Tychy,0
ak022ar5yumf,06-05-22 7:00,435008/9 (353535) SILESIA,PKP Intercity,06-05-22,Bohu Vrbice - Warszawa Wschodnia,7:2335:00 AM,8,Tychy,1
ci40329640,06-05-22 7:00,404350 (353535) S4,Koleje Śląskie,06-05-22,Tychy Lodowisko - Katowice,7:236:00 AM,0,Tychy,0
ci37512213,06-05-22 7:00,947923/3 (353535) S5 SPRINTER,Koleje Śląskie,06-05-22,Zwardoń - Katowice,7:35,24,Tychy,1
ci37512205,06-05-22 7:00,94703/23 (353535) S5,Koleje Śląskie,06-05-22,Katowice - Zwardoń,7:39,0,Tychy,0
ci40329632,06-05-22 7:00,34453 (353535) S335/S7,Koleje Śląskie,06-05-22,Nowy Bieruń - Racibórz,7:50,21,Tychy,1
nn00845626,06-05-22 7:00,403503 (353535) S435 SPRINTER,Koleje Śląskie,06-05-22,Częstochowa - Tychy Lodowisko,8:05,10,Tychy,1
av91666526,06-05-22 7:00,94854/5 (353535) S5,Koleje Śląskie,06-05-22,Żywiec - Katowice,8:3523:00 AM,0,Tychy,0
nc73770650,06-05-22 7:00,44850 (353535) S735,Koleje Śląskie,06-05-22,Chałupki - Katowice,8:234:00 AM,0,Tychy,0
nn00845625,06-05-22 7:00,354000/35 (35356) SILESIA,PKP Intercity,06-05-22,Warszawa Wschodnia - Bohu,8:236:00 AM,11,Tychy,1
uw61865092,06-05-22 7:00,94794/5 (35356) S5 SPRINTER,Koleje Śląskie,06-05-22,Zwardoń - Katowice,8:33,0,Tychy,0
ci40329624,06-05-22 7:00,94756/7 (35356) S5,Koleje Śląskie,06-05-22,Zwardoń - Katowice,9:355:00 AM,20,Tychy,1
ci40329600,06-05-22 7:00,354230/35 (35356) DASZYŃSKI,PKP Intercity,06-05-22,Warszawa Wschodnia - Bielsko-Biała Główna,350:023:00 AM,10,Tychy,1
us6000icqi,06-05-22 7:00,34000/35 (35354) CRACOVIA,PKP Intercity,06-05-22,Przemyśl Główny - Bohu,3535:59:00 AM,0,Tychy,0
nc73770635,06-05-22 7:00,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:035:00 AM,12,Rumia Janowo,1
ci40329592,06-05-22 7:00,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:358:00 AM,21,Rumia Janowo,1
pr71367358,06-05-22 7:00,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:358:00 AM,0,Rumia Janowo,0
hv73117482,06-05-22 7:00,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:235:00 AM,23,Rumia Janowo,1
ak022ar56dd6,06-05-22 7:00,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:237:00 AM,25,Rumia Janowo,1
ci40329584,06-05-22 7:00,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:35,0,Rumia Janowo,0
av91069013,06-05-22 7:00,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:53,30,Rumia Janowo,1
ci40329576,06-05-22 7:00,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,8:00,0,Rumia Janowo,0
nn00845624,06-05-22 7:00,958035,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Lębork,7:08,23,Wejherowo-Nanice,1
